sa4,age,sex,education,ingp,unemployment
Migratory - Offshore - Shipping (NSW),40-49 years,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),40-49 years,Female,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Male,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Male,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Male,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Male,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Female,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Female,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),50-59 years,Female,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Male,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Male,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Male,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Male,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Female,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Female,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),60-69 years,Female,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Male,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Male,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Male,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Male,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Female,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Female,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),70-79 years,Female,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Male,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Male,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Male,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Male,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Female,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Female,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),80-89 years,Female,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Male,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Male,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Male,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Male,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Female,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Female,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),90-99 years,Female,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Male,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Male,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Male,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Male,hs_not_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Female,hs_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Female,hs_finished,Non-Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Female,hs_not_finished,Indigenous,0
Migratory - Offshore - Shipping (NSW),100 years and over,Female,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),15-19 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),15-19 years,Male,hs_finished,Non-Indigenous,8
No Usual Address (NSW),15-19 years,Male,hs_not_finished,Indigenous,4
No Usual Address (NSW),15-19 years,Male,hs_not_finished,Non-Indigenous,23
No Usual Address (NSW),15-19 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),15-19 years,Female,hs_finished,Non-Indigenous,16
No Usual Address (NSW),15-19 years,Female,hs_not_finished,Indigenous,5
No Usual Address (NSW),15-19 years,Female,hs_not_finished,Non-Indigenous,12
No Usual Address (NSW),20-29 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),20-29 years,Male,hs_finished,Non-Indigenous,90
No Usual Address (NSW),20-29 years,Male,hs_not_finished,Indigenous,21
No Usual Address (NSW),20-29 years,Male,hs_not_finished,Non-Indigenous,74
No Usual Address (NSW),20-29 years,Female,hs_finished,Indigenous,4
No Usual Address (NSW),20-29 years,Female,hs_finished,Non-Indigenous,73
No Usual Address (NSW),20-29 years,Female,hs_not_finished,Indigenous,4
No Usual Address (NSW),20-29 years,Female,hs_not_finished,Non-Indigenous,27
No Usual Address (NSW),30-39 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),30-39 years,Male,hs_finished,Non-Indigenous,77
No Usual Address (NSW),30-39 years,Male,hs_not_finished,Indigenous,10
No Usual Address (NSW),30-39 years,Male,hs_not_finished,Non-Indigenous,58
No Usual Address (NSW),30-39 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),30-39 years,Female,hs_finished,Non-Indigenous,63
No Usual Address (NSW),30-39 years,Female,hs_not_finished,Indigenous,4
No Usual Address (NSW),30-39 years,Female,hs_not_finished,Non-Indigenous,15
No Usual Address (NSW),40-49 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),40-49 years,Male,hs_finished,Non-Indigenous,30
No Usual Address (NSW),40-49 years,Male,hs_not_finished,Indigenous,3
No Usual Address (NSW),40-49 years,Male,hs_not_finished,Non-Indigenous,50
No Usual Address (NSW),40-49 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),40-49 years,Female,hs_finished,Non-Indigenous,26
No Usual Address (NSW),40-49 years,Female,hs_not_finished,Indigenous,3
No Usual Address (NSW),40-49 years,Female,hs_not_finished,Non-Indigenous,30
No Usual Address (NSW),50-59 years,Male,hs_finished,Indigenous,3
No Usual Address (NSW),50-59 years,Male,hs_finished,Non-Indigenous,27
No Usual Address (NSW),50-59 years,Male,hs_not_finished,Indigenous,7
No Usual Address (NSW),50-59 years,Male,hs_not_finished,Non-Indigenous,50
No Usual Address (NSW),50-59 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),50-59 years,Female,hs_finished,Non-Indigenous,17
No Usual Address (NSW),50-59 years,Female,hs_not_finished,Indigenous,0
No Usual Address (NSW),50-59 years,Female,hs_not_finished,Non-Indigenous,23
No Usual Address (NSW),60-69 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),60-69 years,Male,hs_finished,Non-Indigenous,10
No Usual Address (NSW),60-69 years,Male,hs_not_finished,Indigenous,0
No Usual Address (NSW),60-69 years,Male,hs_not_finished,Non-Indigenous,19
No Usual Address (NSW),60-69 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),60-69 years,Female,hs_finished,Non-Indigenous,13
No Usual Address (NSW),60-69 years,Female,hs_not_finished,Indigenous,0
No Usual Address (NSW),60-69 years,Female,hs_not_finished,Non-Indigenous,9
No Usual Address (NSW),70-79 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),70-79 years,Male,hs_finished,Non-Indigenous,0
No Usual Address (NSW),70-79 years,Male,hs_not_finished,Indigenous,0
No Usual Address (NSW),70-79 years,Male,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),70-79 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),70-79 years,Female,hs_finished,Non-Indigenous,0
No Usual Address (NSW),70-79 years,Female,hs_not_finished,Indigenous,0
No Usual Address (NSW),70-79 years,Female,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),80-89 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),80-89 years,Male,hs_finished,Non-Indigenous,0
No Usual Address (NSW),80-89 years,Male,hs_not_finished,Indigenous,0
No Usual Address (NSW),80-89 years,Male,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),80-89 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),80-89 years,Female,hs_finished,Non-Indigenous,0
No Usual Address (NSW),80-89 years,Female,hs_not_finished,Indigenous,0
No Usual Address (NSW),80-89 years,Female,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),90-99 years,Male,hs_finished,Indigenous,0
No Usual Address (NSW),90-99 years,Male,hs_finished,Non-Indigenous,0
No Usual Address (NSW),90-99 years,Male,hs_not_finished,Indigenous,0
No Usual Address (NSW),90-99 years,Male,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),90-99 years,Female,hs_finished,Indigenous,0
No Usual Address (NSW),90-99 years,Female,hs_finished,Non-Indigenous,0
No Usual Address (NSW),90-99 years,Female,hs_not_finished,Indigenous,0
No Usual Address (NSW),90-99 years,Female,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),100 years and over,Male,hs_finished,Indigenous,0
No Usual Address (NSW),100 years and over,Male,hs_finished,Non-Indigenous,0
No Usual Address (NSW),100 years and over,Male,hs_not_finished,Indigenous,0
No Usual Address (NSW),100 years and over,Male,hs_not_finished,Non-Indigenous,0
No Usual Address (NSW),100 years and over,Female,hs_finished,Indigenous,0
No Usual Address (NSW),100 years and over,Female,hs_finished,Non-Indigenous,0
No Usual Address (NSW),100 years and over,Female,hs_not_finished,Indigenous,0
No Usual Address (NSW),100 years and over,Female,hs_not_finished,Non-Indigenous,0
Ballarat,15-19 years,Male,hs_finished,Indigenous,0
Ballarat,15-19 years,Male,hs_finished,Non-Indigenous,129
Ballarat,15-19 years,Male,hs_not_finished,Indigenous,7
Ballarat,15-19 years,Male,hs_not_finished,Non-Indigenous,303
Ballarat,15-19 years,Female,hs_finished,Indigenous,0
Ballarat,15-19 years,Female,hs_finished,Non-Indigenous,122
Ballarat,15-19 years,Female,hs_not_finished,Indigenous,4
Ballarat,15-19 years,Female,hs_not_finished,Non-Indigenous,242
Ballarat,20-29 years,Male,hs_finished,Indigenous,7
Ballarat,20-29 years,Male,hs_finished,Non-Indigenous,508
Ballarat,20-29 years,Male,hs_not_finished,Indigenous,12
Ballarat,20-29 years,Male,hs_not_finished,Non-Indigenous,337
Ballarat,20-29 years,Female,hs_finished,Indigenous,7
Ballarat,20-29 years,Female,hs_finished,Non-Indigenous,394
Ballarat,20-29 years,Female,hs_not_finished,Indigenous,7
Ballarat,20-29 years,Female,hs_not_finished,Non-Indigenous,193
Ballarat,30-39 years,Male,hs_finished,Indigenous,0
Ballarat,30-39 years,Male,hs_finished,Non-Indigenous,175
Ballarat,30-39 years,Male,hs_not_finished,Indigenous,3
Ballarat,30-39 years,Male,hs_not_finished,Non-Indigenous,214
Ballarat,30-39 years,Female,hs_finished,Indigenous,0
Ballarat,30-39 years,Female,hs_finished,Non-Indigenous,203
Ballarat,30-39 years,Female,hs_not_finished,Indigenous,6
Ballarat,30-39 years,Female,hs_not_finished,Non-Indigenous,137
Ballarat,40-49 years,Male,hs_finished,Indigenous,0
Ballarat,40-49 years,Male,hs_finished,Non-Indigenous,144
Ballarat,40-49 years,Male,hs_not_finished,Indigenous,6
Ballarat,40-49 years,Male,hs_not_finished,Non-Indigenous,231
Ballarat,40-49 years,Female,hs_finished,Indigenous,0
Ballarat,40-49 years,Female,hs_finished,Non-Indigenous,188
Ballarat,40-49 years,Female,hs_not_finished,Indigenous,0
Ballarat,40-49 years,Female,hs_not_finished,Non-Indigenous,191
Ballarat,50-59 years,Male,hs_finished,Indigenous,0
Ballarat,50-59 years,Male,hs_finished,Non-Indigenous,113
Ballarat,50-59 years,Male,hs_not_finished,Indigenous,0
Ballarat,50-59 years,Male,hs_not_finished,Non-Indigenous,262
Ballarat,50-59 years,Female,hs_finished,Indigenous,0
Ballarat,50-59 years,Female,hs_finished,Non-Indigenous,132
Ballarat,50-59 years,Female,hs_not_finished,Indigenous,3
Ballarat,50-59 years,Female,hs_not_finished,Non-Indigenous,209
Ballarat,60-69 years,Male,hs_finished,Indigenous,0
Ballarat,60-69 years,Male,hs_finished,Non-Indigenous,80
Ballarat,60-69 years,Male,hs_not_finished,Indigenous,0
Ballarat,60-69 years,Male,hs_not_finished,Non-Indigenous,122
Ballarat,60-69 years,Female,hs_finished,Indigenous,0
Ballarat,60-69 years,Female,hs_finished,Non-Indigenous,55
Ballarat,60-69 years,Female,hs_not_finished,Indigenous,0
Ballarat,60-69 years,Female,hs_not_finished,Non-Indigenous,72
Ballarat,70-79 years,Male,hs_finished,Indigenous,0
Ballarat,70-79 years,Male,hs_finished,Non-Indigenous,6
Ballarat,70-79 years,Male,hs_not_finished,Indigenous,0
Ballarat,70-79 years,Male,hs_not_finished,Non-Indigenous,0
Ballarat,70-79 years,Female,hs_finished,Indigenous,0
Ballarat,70-79 years,Female,hs_finished,Non-Indigenous,7
Ballarat,70-79 years,Female,hs_not_finished,Indigenous,0
Ballarat,70-79 years,Female,hs_not_finished,Non-Indigenous,3
Ballarat,80-89 years,Male,hs_finished,Indigenous,0
Ballarat,80-89 years,Male,hs_finished,Non-Indigenous,0
Ballarat,80-89 years,Male,hs_not_finished,Indigenous,0
Ballarat,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Ballarat,80-89 years,Female,hs_finished,Indigenous,0
Ballarat,80-89 years,Female,hs_finished,Non-Indigenous,0
Ballarat,80-89 years,Female,hs_not_finished,Indigenous,0
Ballarat,80-89 years,Female,hs_not_finished,Non-Indigenous,0
Ballarat,90-99 years,Male,hs_finished,Indigenous,0
Ballarat,90-99 years,Male,hs_finished,Non-Indigenous,0
Ballarat,90-99 years,Male,hs_not_finished,Indigenous,0
Ballarat,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Ballarat,90-99 years,Female,hs_finished,Indigenous,0
Ballarat,90-99 years,Female,hs_finished,Non-Indigenous,0
Ballarat,90-99 years,Female,hs_not_finished,Indigenous,0
Ballarat,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Ballarat,100 years and over,Male,hs_finished,Indigenous,0
Ballarat,100 years and over,Male,hs_finished,Non-Indigenous,0
Ballarat,100 years and over,Male,hs_not_finished,Indigenous,0
Ballarat,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Ballarat,100 years and over,Female,hs_finished,Indigenous,0
Ballarat,100 years and over,Female,hs_finished,Non-Indigenous,0
Ballarat,100 years and over,Female,hs_not_finished,Indigenous,0
Ballarat,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Bendigo,15-19 years,Male,hs_finished,Indigenous,0
Bendigo,15-19 years,Male,hs_finished,Non-Indigenous,121
Bendigo,15-19 years,Male,hs_not_finished,Indigenous,7
Bendigo,15-19 years,Male,hs_not_finished,Non-Indigenous,282
Bendigo,15-19 years,Female,hs_finished,Indigenous,0
Bendigo,15-19 years,Female,hs_finished,Non-Indigenous,115
Bendigo,15-19 years,Female,hs_not_finished,Indigenous,3
Bendigo,15-19 years,Female,hs_not_finished,Non-Indigenous,256
Bendigo,20-29 years,Male,hs_finished,Indigenous,11
Bendigo,20-29 years,Male,hs_finished,Non-Indigenous,354
Bendigo,20-29 years,Male,hs_not_finished,Indigenous,14
Bendigo,20-29 years,Male,hs_not_finished,Non-Indigenous,274
Bendigo,20-29 years,Female,hs_finished,Indigenous,11
Bendigo,20-29 years,Female,hs_finished,Non-Indigenous,318
Bendigo,20-29 years,Female,hs_not_finished,Indigenous,11
Bendigo,20-29 years,Female,hs_not_finished,Non-Indigenous,176
Bendigo,30-39 years,Male,hs_finished,Indigenous,0
Bendigo,30-39 years,Male,hs_finished,Non-Indigenous,148
Bendigo,30-39 years,Male,hs_not_finished,Indigenous,5
Bendigo,30-39 years,Male,hs_not_finished,Non-Indigenous,199
Bendigo,30-39 years,Female,hs_finished,Indigenous,4
Bendigo,30-39 years,Female,hs_finished,Non-Indigenous,163
Bendigo,30-39 years,Female,hs_not_finished,Indigenous,11
Bendigo,30-39 years,Female,hs_not_finished,Non-Indigenous,120
Bendigo,40-49 years,Male,hs_finished,Indigenous,4
Bendigo,40-49 years,Male,hs_finished,Non-Indigenous,125
Bendigo,40-49 years,Male,hs_not_finished,Indigenous,0
Bendigo,40-49 years,Male,hs_not_finished,Non-Indigenous,174
Bendigo,40-49 years,Female,hs_finished,Indigenous,4
Bendigo,40-49 years,Female,hs_finished,Non-Indigenous,168
Bendigo,40-49 years,Female,hs_not_finished,Indigenous,13
Bendigo,40-49 years,Female,hs_not_finished,Non-Indigenous,148
Bendigo,50-59 years,Male,hs_finished,Indigenous,0
Bendigo,50-59 years,Male,hs_finished,Non-Indigenous,102
Bendigo,50-59 years,Male,hs_not_finished,Indigenous,13
Bendigo,50-59 years,Male,hs_not_finished,Non-Indigenous,231
Bendigo,50-59 years,Female,hs_finished,Indigenous,0
Bendigo,50-59 years,Female,hs_finished,Non-Indigenous,99
Bendigo,50-59 years,Female,hs_not_finished,Indigenous,0
Bendigo,50-59 years,Female,hs_not_finished,Non-Indigenous,179
Bendigo,60-69 years,Male,hs_finished,Indigenous,0
Bendigo,60-69 years,Male,hs_finished,Non-Indigenous,84
Bendigo,60-69 years,Male,hs_not_finished,Indigenous,0
Bendigo,60-69 years,Male,hs_not_finished,Non-Indigenous,110
Bendigo,60-69 years,Female,hs_finished,Indigenous,0
Bendigo,60-69 years,Female,hs_finished,Non-Indigenous,53
Bendigo,60-69 years,Female,hs_not_finished,Indigenous,0
Bendigo,60-69 years,Female,hs_not_finished,Non-Indigenous,73
Bendigo,70-79 years,Male,hs_finished,Indigenous,0
Bendigo,70-79 years,Male,hs_finished,Non-Indigenous,9
Bendigo,70-79 years,Male,hs_not_finished,Indigenous,0
Bendigo,70-79 years,Male,hs_not_finished,Non-Indigenous,20
Bendigo,70-79 years,Female,hs_finished,Indigenous,0
Bendigo,70-79 years,Female,hs_finished,Non-Indigenous,3
Bendigo,70-79 years,Female,hs_not_finished,Indigenous,0
Bendigo,70-79 years,Female,hs_not_finished,Non-Indigenous,0
Bendigo,80-89 years,Male,hs_finished,Indigenous,0
Bendigo,80-89 years,Male,hs_finished,Non-Indigenous,0
Bendigo,80-89 years,Male,hs_not_finished,Indigenous,0
Bendigo,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Bendigo,80-89 years,Female,hs_finished,Indigenous,0
Bendigo,80-89 years,Female,hs_finished,Non-Indigenous,0
Bendigo,80-89 years,Female,hs_not_finished,Indigenous,0
Bendigo,80-89 years,Female,hs_not_finished,Non-Indigenous,0
Bendigo,90-99 years,Male,hs_finished,Indigenous,0
Bendigo,90-99 years,Male,hs_finished,Non-Indigenous,0
Bendigo,90-99 years,Male,hs_not_finished,Indigenous,0
Bendigo,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Bendigo,90-99 years,Female,hs_finished,Indigenous,0
Bendigo,90-99 years,Female,hs_finished,Non-Indigenous,0
Bendigo,90-99 years,Female,hs_not_finished,Indigenous,0
Bendigo,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Bendigo,100 years and over,Male,hs_finished,Indigenous,0
Bendigo,100 years and over,Male,hs_finished,Non-Indigenous,0
Bendigo,100 years and over,Male,hs_not_finished,Indigenous,0
Bendigo,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Bendigo,100 years and over,Female,hs_finished,Indigenous,0
Bendigo,100 years and over,Female,hs_finished,Non-Indigenous,0
Bendigo,100 years and over,Female,hs_not_finished,Indigenous,0
Bendigo,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Geelong,15-19 years,Male,hs_finished,Indigenous,3
Geelong,15-19 years,Male,hs_finished,Non-Indigenous,259
Geelong,15-19 years,Male,hs_not_finished,Indigenous,22
Geelong,15-19 years,Male,hs_not_finished,Non-Indigenous,444
Geelong,15-19 years,Female,hs_finished,Indigenous,9
Geelong,15-19 years,Female,hs_finished,Non-Indigenous,276
Geelong,15-19 years,Female,hs_not_finished,Indigenous,10
Geelong,15-19 years,Female,hs_not_finished,Non-Indigenous,440
Geelong,20-29 years,Male,hs_finished,Indigenous,9
Geelong,20-29 years,Male,hs_finished,Non-Indigenous,808
Geelong,20-29 years,Male,hs_not_finished,Indigenous,10
Geelong,20-29 years,Male,hs_not_finished,Non-Indigenous,449
Geelong,20-29 years,Female,hs_finished,Indigenous,3
Geelong,20-29 years,Female,hs_finished,Non-Indigenous,671
Geelong,20-29 years,Female,hs_not_finished,Indigenous,3
Geelong,20-29 years,Female,hs_not_finished,Non-Indigenous,256
Geelong,30-39 years,Male,hs_finished,Indigenous,0
Geelong,30-39 years,Male,hs_finished,Non-Indigenous,321
Geelong,30-39 years,Male,hs_not_finished,Indigenous,9
Geelong,30-39 years,Male,hs_not_finished,Non-Indigenous,272
Geelong,30-39 years,Female,hs_finished,Indigenous,3
Geelong,30-39 years,Female,hs_finished,Non-Indigenous,407
Geelong,30-39 years,Female,hs_not_finished,Indigenous,4
Geelong,30-39 years,Female,hs_not_finished,Non-Indigenous,179
Geelong,40-49 years,Male,hs_finished,Indigenous,0
Geelong,40-49 years,Male,hs_finished,Non-Indigenous,235
Geelong,40-49 years,Male,hs_not_finished,Indigenous,0
Geelong,40-49 years,Male,hs_not_finished,Non-Indigenous,364
Geelong,40-49 years,Female,hs_finished,Indigenous,4
Geelong,40-49 years,Female,hs_finished,Non-Indigenous,357
Geelong,40-49 years,Female,hs_not_finished,Indigenous,3
Geelong,40-49 years,Female,hs_not_finished,Non-Indigenous,328
Geelong,50-59 years,Male,hs_finished,Indigenous,0
Geelong,50-59 years,Male,hs_finished,Non-Indigenous,193
Geelong,50-59 years,Male,hs_not_finished,Indigenous,0
Geelong,50-59 years,Male,hs_not_finished,Non-Indigenous,429
Geelong,50-59 years,Female,hs_finished,Indigenous,6
Geelong,50-59 years,Female,hs_finished,Non-Indigenous,174
Geelong,50-59 years,Female,hs_not_finished,Indigenous,0
Geelong,50-59 years,Female,hs_not_finished,Non-Indigenous,287
Geelong,60-69 years,Male,hs_finished,Indigenous,0
Geelong,60-69 years,Male,hs_finished,Non-Indigenous,142
Geelong,60-69 years,Male,hs_not_finished,Indigenous,0
Geelong,60-69 years,Male,hs_not_finished,Non-Indigenous,207
Geelong,60-69 years,Female,hs_finished,Indigenous,0
Geelong,60-69 years,Female,hs_finished,Non-Indigenous,83
Geelong,60-69 years,Female,hs_not_finished,Indigenous,0
Geelong,60-69 years,Female,hs_not_finished,Non-Indigenous,131
Geelong,70-79 years,Male,hs_finished,Indigenous,0
Geelong,70-79 years,Male,hs_finished,Non-Indigenous,15
Geelong,70-79 years,Male,hs_not_finished,Indigenous,0
Geelong,70-79 years,Male,hs_not_finished,Non-Indigenous,18
Geelong,70-79 years,Female,hs_finished,Indigenous,0
Geelong,70-79 years,Female,hs_finished,Non-Indigenous,10
Geelong,70-79 years,Female,hs_not_finished,Indigenous,0
Geelong,70-79 years,Female,hs_not_finished,Non-Indigenous,8
Geelong,80-89 years,Male,hs_finished,Indigenous,0
Geelong,80-89 years,Male,hs_finished,Non-Indigenous,3
Geelong,80-89 years,Male,hs_not_finished,Indigenous,0
Geelong,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Geelong,80-89 years,Female,hs_finished,Indigenous,0
Geelong,80-89 years,Female,hs_finished,Non-Indigenous,0
Geelong,80-89 years,Female,hs_not_finished,Indigenous,0
Geelong,80-89 years,Female,hs_not_finished,Non-Indigenous,4
Geelong,90-99 years,Male,hs_finished,Indigenous,0
Geelong,90-99 years,Male,hs_finished,Non-Indigenous,0
Geelong,90-99 years,Male,hs_not_finished,Indigenous,0
Geelong,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Geelong,90-99 years,Female,hs_finished,Indigenous,0
Geelong,90-99 years,Female,hs_finished,Non-Indigenous,0
Geelong,90-99 years,Female,hs_not_finished,Indigenous,0
Geelong,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Geelong,100 years and over,Male,hs_finished,Indigenous,0
Geelong,100 years and over,Male,hs_finished,Non-Indigenous,0
Geelong,100 years and over,Male,hs_not_finished,Indigenous,0
Geelong,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Geelong,100 years and over,Female,hs_finished,Indigenous,0
Geelong,100 years and over,Female,hs_finished,Non-Indigenous,0
Geelong,100 years and over,Female,hs_not_finished,Indigenous,0
Geelong,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Hume,15-19 years,Male,hs_finished,Indigenous,5
Hume,15-19 years,Male,hs_finished,Non-Indigenous,92
Hume,15-19 years,Male,hs_not_finished,Indigenous,17
Hume,15-19 years,Male,hs_not_finished,Non-Indigenous,232
Hume,15-19 years,Female,hs_finished,Indigenous,0
Hume,15-19 years,Female,hs_finished,Non-Indigenous,82
Hume,15-19 years,Female,hs_not_finished,Indigenous,15
Hume,15-19 years,Female,hs_not_finished,Non-Indigenous,216
Hume,20-29 years,Male,hs_finished,Indigenous,6
Hume,20-29 years,Male,hs_finished,Non-Indigenous,197
Hume,20-29 years,Male,hs_not_finished,Indigenous,11
Hume,20-29 years,Male,hs_not_finished,Non-Indigenous,264
Hume,20-29 years,Female,hs_finished,Indigenous,8
Hume,20-29 years,Female,hs_finished,Non-Indigenous,238
Hume,20-29 years,Female,hs_not_finished,Indigenous,9
Hume,20-29 years,Female,hs_not_finished,Non-Indigenous,190
Hume,30-39 years,Male,hs_finished,Indigenous,3
Hume,30-39 years,Male,hs_finished,Non-Indigenous,95
Hume,30-39 years,Male,hs_not_finished,Indigenous,7
Hume,30-39 years,Male,hs_not_finished,Non-Indigenous,167
Hume,30-39 years,Female,hs_finished,Indigenous,5
Hume,30-39 years,Female,hs_finished,Non-Indigenous,170
Hume,30-39 years,Female,hs_not_finished,Indigenous,7
Hume,30-39 years,Female,hs_not_finished,Non-Indigenous,136
Hume,40-49 years,Male,hs_finished,Indigenous,3
Hume,40-49 years,Male,hs_finished,Non-Indigenous,93
Hume,40-49 years,Male,hs_not_finished,Indigenous,12
Hume,40-49 years,Male,hs_not_finished,Non-Indigenous,220
Hume,40-49 years,Female,hs_finished,Indigenous,0
Hume,40-49 years,Female,hs_finished,Non-Indigenous,149
Hume,40-49 years,Female,hs_not_finished,Indigenous,0
Hume,40-49 years,Female,hs_not_finished,Non-Indigenous,201
Hume,50-59 years,Male,hs_finished,Indigenous,0
Hume,50-59 years,Male,hs_finished,Non-Indigenous,82
Hume,50-59 years,Male,hs_not_finished,Indigenous,4
Hume,50-59 years,Male,hs_not_finished,Non-Indigenous,283
Hume,50-59 years,Female,hs_finished,Indigenous,0
Hume,50-59 years,Female,hs_finished,Non-Indigenous,115
Hume,50-59 years,Female,hs_not_finished,Indigenous,0
Hume,50-59 years,Female,hs_not_finished,Non-Indigenous,236
Hume,60-69 years,Male,hs_finished,Indigenous,0
Hume,60-69 years,Male,hs_finished,Non-Indigenous,74
Hume,60-69 years,Male,hs_not_finished,Indigenous,3
Hume,60-69 years,Male,hs_not_finished,Non-Indigenous,169
Hume,60-69 years,Female,hs_finished,Indigenous,0
