sa4,age,sex,education,ingp,unemployment,labour_force
New England and North West,80-89 years,Female,hs_not_finished,Non-Indigenous,0,89
New England and North West,90-99 years,Male,hs_finished,Indigenous,0,0
New England and North West,90-99 years,Male,hs_finished,Non-Indigenous,0,3
New England and North West,90-99 years,Male,hs_not_finished,Indigenous,0,0
New England and North West,90-99 years,Male,hs_not_finished,Non-Indigenous,0,11
New England and North West,90-99 years,Female,hs_finished,Indigenous,0,0
New England and North West,90-99 years,Female,hs_finished,Non-Indigenous,0,8
New England and North West,90-99 years,Female,hs_not_finished,Indigenous,0,0
New England and North West,90-99 years,Female,hs_not_finished,Non-Indigenous,0,5
New England and North West,100 years and over,Male,hs_finished,Indigenous,0,0
New England and North West,100 years and over,Male,hs_finished,Non-Indigenous,0,0
New England and North West,100 years and over,Male,hs_not_finished,Indigenous,0,0
New England and North West,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
New England and North West,100 years and over,Female,hs_finished,Indigenous,0,0
New England and North West,100 years and over,Female,hs_finished,Non-Indigenous,0,0
New England and North West,100 years and over,Female,hs_not_finished,Indigenous,0,0
New England and North West,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Newcastle and Lake Macquarie,15-19 years,Male,hs_finished,Indigenous,25,102
Newcastle and Lake Macquarie,15-19 years,Male,hs_finished,Non-Indigenous,418,1893
Newcastle and Lake Macquarie,15-19 years,Male,hs_not_finished,Indigenous,84,222
Newcastle and Lake Macquarie,15-19 years,Male,hs_not_finished,Non-Indigenous,855,3503
Newcastle and Lake Macquarie,15-19 years,Female,hs_finished,Indigenous,32,115
Newcastle and Lake Macquarie,15-19 years,Female,hs_finished,Non-Indigenous,342,2274
Newcastle and Lake Macquarie,15-19 years,Female,hs_not_finished,Indigenous,92,251
Newcastle and Lake Macquarie,15-19 years,Female,hs_not_finished,Non-Indigenous,735,3568
Newcastle and Lake Macquarie,20-29 years,Male,hs_finished,Indigenous,64,446
Newcastle and Lake Macquarie,20-29 years,Male,hs_finished,Non-Indigenous,1151,12489
Newcastle and Lake Macquarie,20-29 years,Male,hs_not_finished,Indigenous,99,454
Newcastle and Lake Macquarie,20-29 years,Male,hs_not_finished,Non-Indigenous,804,6167
Newcastle and Lake Macquarie,20-29 years,Female,hs_finished,Indigenous,50,506
Newcastle and Lake Macquarie,20-29 years,Female,hs_finished,Non-Indigenous,910,13821
Newcastle and Lake Macquarie,20-29 years,Female,hs_not_finished,Indigenous,62,298
Newcastle and Lake Macquarie,20-29 years,Female,hs_not_finished,Non-Indigenous,438,3677
Newcastle and Lake Macquarie,30-39 years,Male,hs_finished,Indigenous,12,251
Newcastle and Lake Macquarie,30-39 years,Male,hs_finished,Non-Indigenous,455,12235
Newcastle and Lake Macquarie,30-39 years,Male,hs_not_finished,Indigenous,51,337
Newcastle and Lake Macquarie,30-39 years,Male,hs_not_finished,Non-Indigenous,501,6125
Newcastle and Lake Macquarie,30-39 years,Female,hs_finished,Indigenous,27,314
Newcastle and Lake Macquarie,30-39 years,Female,hs_finished,Non-Indigenous,508,12996
Newcastle and Lake Macquarie,30-39 years,Female,hs_not_finished,Indigenous,43,230
Newcastle and Lake Macquarie,30-39 years,Female,hs_not_finished,Non-Indigenous,337,3731
Newcastle and Lake Macquarie,40-49 years,Male,hs_finished,Indigenous,20,166
Newcastle and Lake Macquarie,40-49 years,Male,hs_finished,Non-Indigenous,349,9646
Newcastle and Lake Macquarie,40-49 years,Male,hs_not_finished,Indigenous,41,340
Newcastle and Lake Macquarie,40-49 years,Male,hs_not_finished,Non-Indigenous,602,8797
Newcastle and Lake Macquarie,40-49 years,Female,hs_finished,Indigenous,10,216
Newcastle and Lake Macquarie,40-49 years,Female,hs_finished,Non-Indigenous,343,10633
Newcastle and Lake Macquarie,40-49 years,Female,hs_not_finished,Indigenous,25,284
Newcastle and Lake Macquarie,40-49 years,Female,hs_not_finished,Non-Indigenous,432,7342
Newcastle and Lake Macquarie,50-59 years,Male,hs_finished,Indigenous,0,60
Newcastle and Lake Macquarie,50-59 years,Male,hs_finished,Non-Indigenous,273,6218
Newcastle and Lake Macquarie,50-59 years,Male,hs_not_finished,Indigenous,20,303
Newcastle and Lake Macquarie,50-59 years,Male,hs_not_finished,Non-Indigenous,667,10685
Newcastle and Lake Macquarie,50-59 years,Female,hs_finished,Indigenous,5,79
Newcastle and Lake Macquarie,50-59 years,Female,hs_finished,Non-Indigenous,196,6728
Newcastle and Lake Macquarie,50-59 years,Female,hs_not_finished,Indigenous,16,259
Newcastle and Lake Macquarie,50-59 years,Female,hs_not_finished,Non-Indigenous,404,9594
Newcastle and Lake Macquarie,60-69 years,Male,hs_finished,Indigenous,0,18
Newcastle and Lake Macquarie,60-69 years,Male,hs_finished,Non-Indigenous,185,3022
Newcastle and Lake Macquarie,60-69 years,Male,hs_not_finished,Indigenous,7,85
Newcastle and Lake Macquarie,60-69 years,Male,hs_not_finished,Non-Indigenous,299,4258
Newcastle and Lake Macquarie,60-69 years,Female,hs_finished,Indigenous,0,15
Newcastle and Lake Macquarie,60-69 years,Female,hs_finished,Non-Indigenous,65,2140
Newcastle and Lake Macquarie,60-69 years,Female,hs_not_finished,Indigenous,0,70
Newcastle and Lake Macquarie,60-69 years,Female,hs_not_finished,Non-Indigenous,141,3914
Newcastle and Lake Macquarie,70-79 years,Male,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,70-79 years,Male,hs_finished,Non-Indigenous,21,493
Newcastle and Lake Macquarie,70-79 years,Male,hs_not_finished,Indigenous,0,11
Newcastle and Lake Macquarie,70-79 years,Male,hs_not_finished,Non-Indigenous,10,558
Newcastle and Lake Macquarie,70-79 years,Female,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,70-79 years,Female,hs_finished,Non-Indigenous,0,184
Newcastle and Lake Macquarie,70-79 years,Female,hs_not_finished,Indigenous,0,8
Newcastle and Lake Macquarie,70-79 years,Female,hs_not_finished,Non-Indigenous,9,391
Newcastle and Lake Macquarie,80-89 years,Male,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,80-89 years,Male,hs_finished,Non-Indigenous,3,42
Newcastle and Lake Macquarie,80-89 years,Male,hs_not_finished,Indigenous,0,0
Newcastle and Lake Macquarie,80-89 years,Male,hs_not_finished,Non-Indigenous,0,71
Newcastle and Lake Macquarie,80-89 years,Female,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,80-89 years,Female,hs_finished,Non-Indigenous,0,19
Newcastle and Lake Macquarie,80-89 years,Female,hs_not_finished,Indigenous,0,0
Newcastle and Lake Macquarie,80-89 years,Female,hs_not_finished,Non-Indigenous,0,39
Newcastle and Lake Macquarie,90-99 years,Male,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,90-99 years,Male,hs_finished,Non-Indigenous,0,3
Newcastle and Lake Macquarie,90-99 years,Male,hs_not_finished,Indigenous,0,0
Newcastle and Lake Macquarie,90-99 years,Male,hs_not_finished,Non-Indigenous,0,3
Newcastle and Lake Macquarie,90-99 years,Female,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,90-99 years,Female,hs_finished,Non-Indigenous,0,5
Newcastle and Lake Macquarie,90-99 years,Female,hs_not_finished,Indigenous,0,0
Newcastle and Lake Macquarie,90-99 years,Female,hs_not_finished,Non-Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Male,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Male,hs_not_finished,Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Female,hs_finished,Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Female,hs_not_finished,Indigenous,0,0
Newcastle and Lake Macquarie,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Richmond - Tweed,15-19 years,Male,hs_finished,Indigenous,10,67
Richmond - Tweed,15-19 years,Male,hs_finished,Non-Indigenous,171,1030
Richmond - Tweed,15-19 years,Male,hs_not_finished,Indigenous,49,115
Richmond - Tweed,15-19 years,Male,hs_not_finished,Non-Indigenous,429,2142
Richmond - Tweed,15-19 years,Female,hs_finished,Indigenous,10,94
Richmond - Tweed,15-19 years,Female,hs_finished,Non-Indigenous,116,1138
Richmond - Tweed,15-19 years,Female,hs_not_finished,Indigenous,29,145
Richmond - Tweed,15-19 years,Female,hs_not_finished,Non-Indigenous,336,2118
Richmond - Tweed,20-29 years,Male,hs_finished,Indigenous,34,243
Richmond - Tweed,20-29 years,Male,hs_finished,Non-Indigenous,424,4530
Richmond - Tweed,20-29 years,Male,hs_not_finished,Indigenous,69,252
Richmond - Tweed,20-29 years,Male,hs_not_finished,Non-Indigenous,385,3069
Richmond - Tweed,20-29 years,Female,hs_finished,Indigenous,24,228
Richmond - Tweed,20-29 years,Female,hs_finished,Non-Indigenous,424,5323
Richmond - Tweed,20-29 years,Female,hs_not_finished,Indigenous,30,130
Richmond - Tweed,20-29 years,Female,hs_not_finished,Non-Indigenous,200,1667
Richmond - Tweed,30-39 years,Male,hs_finished,Indigenous,4,136
Richmond - Tweed,30-39 years,Male,hs_finished,Non-Indigenous,234,5630
Richmond - Tweed,30-39 years,Male,hs_not_finished,Indigenous,43,213
Richmond - Tweed,30-39 years,Male,hs_not_finished,Non-Indigenous,270,3450
Richmond - Tweed,30-39 years,Female,hs_finished,Indigenous,16,153
Richmond - Tweed,30-39 years,Female,hs_finished,Non-Indigenous,286,6457
Richmond - Tweed,30-39 years,Female,hs_not_finished,Indigenous,20,140
Richmond - Tweed,30-39 years,Female,hs_not_finished,Non-Indigenous,192,2199
Richmond - Tweed,40-49 years,Male,hs_finished,Indigenous,4,127
Richmond - Tweed,40-49 years,Male,hs_finished,Non-Indigenous,282,5866
Richmond - Tweed,40-49 years,Male,hs_not_finished,Indigenous,37,215
Richmond - Tweed,40-49 years,Male,hs_not_finished,Non-Indigenous,355,5156
Richmond - Tweed,40-49 years,Female,hs_finished,Indigenous,8,158
Richmond - Tweed,40-49 years,Female,hs_finished,Non-Indigenous,295,7179
Richmond - Tweed,40-49 years,Female,hs_not_finished,Indigenous,38,246
Richmond - Tweed,40-49 years,Female,hs_not_finished,Non-Indigenous,284,4472
Richmond - Tweed,50-59 years,Male,hs_finished,Indigenous,7,55
Richmond - Tweed,50-59 years,Male,hs_finished,Non-Indigenous,263,4544
Richmond - Tweed,50-59 years,Male,hs_not_finished,Indigenous,33,188
Richmond - Tweed,50-59 years,Male,hs_not_finished,Non-Indigenous,451,7423
Richmond - Tweed,50-59 years,Female,hs_finished,Indigenous,0,60
Richmond - Tweed,50-59 years,Female,hs_finished,Non-Indigenous,237,5156
Richmond - Tweed,50-59 years,Female,hs_not_finished,Indigenous,11,223
Richmond - Tweed,50-59 years,Female,hs_not_finished,Non-Indigenous,373,7220
Richmond - Tweed,60-69 years,Male,hs_finished,Indigenous,0,18
Richmond - Tweed,60-69 years,Male,hs_finished,Non-Indigenous,153,3027
Richmond - Tweed,60-69 years,Male,hs_not_finished,Indigenous,3,81
Richmond - Tweed,60-69 years,Male,hs_not_finished,Non-Indigenous,239,3724
Richmond - Tweed,60-69 years,Female,hs_finished,Indigenous,0,27
Richmond - Tweed,60-69 years,Female,hs_finished,Non-Indigenous,97,2168
Richmond - Tweed,60-69 years,Female,hs_not_finished,Indigenous,0,60
Richmond - Tweed,60-69 years,Female,hs_not_finished,Non-Indigenous,152,3524
Richmond - Tweed,70-79 years,Male,hs_finished,Indigenous,0,4
Richmond - Tweed,70-79 years,Male,hs_finished,Non-Indigenous,15,437
Richmond - Tweed,70-79 years,Male,hs_not_finished,Indigenous,0,8
Richmond - Tweed,70-79 years,Male,hs_not_finished,Non-Indigenous,7,678
Richmond - Tweed,70-79 years,Female,hs_finished,Indigenous,0,0
Richmond - Tweed,70-79 years,Female,hs_finished,Non-Indigenous,9,223
Richmond - Tweed,70-79 years,Female,hs_not_finished,Indigenous,0,0
Richmond - Tweed,70-79 years,Female,hs_not_finished,Non-Indigenous,10,408
Richmond - Tweed,80-89 years,Male,hs_finished,Indigenous,0,0
Richmond - Tweed,80-89 years,Male,hs_finished,Non-Indigenous,0,60
Richmond - Tweed,80-89 years,Male,hs_not_finished,Indigenous,0,0
Richmond - Tweed,80-89 years,Male,hs_not_finished,Non-Indigenous,0,134
Richmond - Tweed,80-89 years,Female,hs_finished,Indigenous,0,0
Richmond - Tweed,80-89 years,Female,hs_finished,Non-Indigenous,0,37
Richmond - Tweed,80-89 years,Female,hs_not_finished,Indigenous,0,0
Richmond - Tweed,80-89 years,Female,hs_not_finished,Non-Indigenous,0,54
Richmond - Tweed,90-99 years,Male,hs_finished,Indigenous,0,0
Richmond - Tweed,90-99 years,Male,hs_finished,Non-Indigenous,0,6
Richmond - Tweed,90-99 years,Male,hs_not_finished,Indigenous,0,0
Richmond - Tweed,90-99 years,Male,hs_not_finished,Non-Indigenous,0,16
Richmond - Tweed,90-99 years,Female,hs_finished,Indigenous,0,0
Richmond - Tweed,90-99 years,Female,hs_finished,Non-Indigenous,0,9
Richmond - Tweed,90-99 years,Female,hs_not_finished,Indigenous,0,0
Richmond - Tweed,90-99 years,Female,hs_not_finished,Non-Indigenous,0,6
Richmond - Tweed,100 years and over,Male,hs_finished,Indigenous,0,0
Richmond - Tweed,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Richmond - Tweed,100 years and over,Male,hs_not_finished,Indigenous,0,0
Richmond - Tweed,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Richmond - Tweed,100 years and over,Female,hs_finished,Indigenous,0,0
Richmond - Tweed,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Richmond - Tweed,100 years and over,Female,hs_not_finished,Indigenous,0,0
Richmond - Tweed,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Riverina,15-19 years,Male,hs_finished,Indigenous,11,62
Riverina,15-19 years,Male,hs_finished,Non-Indigenous,81,789
Riverina,15-19 years,Male,hs_not_finished,Indigenous,41,135
Riverina,15-19 years,Male,hs_not_finished,Non-Indigenous,204,1604
Riverina,15-19 years,Female,hs_finished,Indigenous,17,68
Riverina,15-19 years,Female,hs_finished,Non-Indigenous,93,908
Riverina,15-19 years,Female,hs_not_finished,Indigenous,35,122
Riverina,15-19 years,Female,hs_not_finished,Non-Indigenous,174,1353
Riverina,20-29 years,Male,hs_finished,Indigenous,18,161
Riverina,20-29 years,Male,hs_finished,Non-Indigenous,223,4033
Riverina,20-29 years,Male,hs_not_finished,Indigenous,68,272
Riverina,20-29 years,Male,hs_not_finished,Non-Indigenous,257,3261
Riverina,20-29 years,Female,hs_finished,Indigenous,12,185
Riverina,20-29 years,Female,hs_finished,Non-Indigenous,275,4962
Riverina,20-29 years,Female,hs_not_finished,Indigenous,27,165
Riverina,20-29 years,Female,hs_not_finished,Non-Indigenous,188,1617
Riverina,30-39 years,Male,hs_finished,Indigenous,8,88
Riverina,30-39 years,Male,hs_finished,Non-Indigenous,102,3838
Riverina,30-39 years,Male,hs_not_finished,Indigenous,33,207
Riverina,30-39 years,Male,hs_not_finished,Non-Indigenous,186,3162
Riverina,30-39 years,Female,hs_finished,Indigenous,13,131
Riverina,30-39 years,Female,hs_finished,Non-Indigenous,160,4569
Riverina,30-39 years,Female,hs_not_finished,Indigenous,22,142
Riverina,30-39 years,Female,hs_not_finished,Non-Indigenous,136,1707
Riverina,40-49 years,Male,hs_finished,Indigenous,0,74
Riverina,40-49 years,Male,hs_finished,Non-Indigenous,81,3434
Riverina,40-49 years,Male,hs_not_finished,Indigenous,10,176
Riverina,40-49 years,Male,hs_not_finished,Non-Indigenous,198,4015
Riverina,40-49 years,Female,hs_finished,Indigenous,3,91
Riverina,40-49 years,Female,hs_finished,Non-Indigenous,98,4136
Riverina,40-49 years,Female,hs_not_finished,Indigenous,26,175
Riverina,40-49 years,Female,hs_not_finished,Non-Indigenous,127,2961
Riverina,50-59 years,Male,hs_finished,Indigenous,0,35
Riverina,50-59 years,Male,hs_finished,Non-Indigenous,56,2204
Riverina,50-59 years,Male,hs_not_finished,Indigenous,3,170
Riverina,50-59 years,Male,hs_not_finished,Non-Indigenous,261,5579
Riverina,50-59 years,Female,hs_finished,Indigenous,0,30
Riverina,50-59 years,Female,hs_finished,Non-Indigenous,60,2547
Riverina,50-59 years,Female,hs_not_finished,Indigenous,8,153
Riverina,50-59 years,Female,hs_not_finished,Non-Indigenous,140,4578
Riverina,60-69 years,Male,hs_finished,Indigenous,0,10
Riverina,60-69 years,Male,hs_finished,Non-Indigenous,46,1228
Riverina,60-69 years,Male,hs_not_finished,Indigenous,3,66
Riverina,60-69 years,Male,hs_not_finished,Non-Indigenous,114,3050
Riverina,60-69 years,Female,hs_finished,Indigenous,0,6
Riverina,60-69 years,Female,hs_finished,Non-Indigenous,17,941
Riverina,60-69 years,Female,hs_not_finished,Indigenous,0,33
Riverina,60-69 years,Female,hs_not_finished,Non-Indigenous,52,2269
Riverina,70-79 years,Male,hs_finished,Indigenous,0,3
Riverina,70-79 years,Male,hs_finished,Non-Indigenous,9,258
Riverina,70-79 years,Male,hs_not_finished,Indigenous,0,7
Riverina,70-79 years,Male,hs_not_finished,Non-Indigenous,4,681
Riverina,70-79 years,Female,hs_finished,Indigenous,0,7
Riverina,70-79 years,Female,hs_finished,Non-Indigenous,0,162
Riverina,70-79 years,Female,hs_not_finished,Indigenous,0,3
Riverina,70-79 years,Female,hs_not_finished,Non-Indigenous,0,327
Riverina,80-89 years,Male,hs_finished,Indigenous,0,0
Riverina,80-89 years,Male,hs_finished,Non-Indigenous,0,44
Riverina,80-89 years,Male,hs_not_finished,Indigenous,0,0
Riverina,80-89 years,Male,hs_not_finished,Non-Indigenous,0,130
Riverina,80-89 years,Female,hs_finished,Indigenous,0,0
Riverina,80-89 years,Female,hs_finished,Non-Indigenous,0,23
Riverina,80-89 years,Female,hs_not_finished,Indigenous,0,0
Riverina,80-89 years,Female,hs_not_finished,Non-Indigenous,0,60
Riverina,90-99 years,Male,hs_finished,Indigenous,0,0
Riverina,90-99 years,Male,hs_finished,Non-Indigenous,0,7
Riverina,90-99 years,Male,hs_not_finished,Indigenous,0,0
Riverina,90-99 years,Male,hs_not_finished,Non-Indigenous,0,10
Riverina,90-99 years,Female,hs_finished,Indigenous,0,0
Riverina,90-99 years,Female,hs_finished,Non-Indigenous,0,8
Riverina,90-99 years,Female,hs_not_finished,Indigenous,0,0
Riverina,90-99 years,Female,hs_not_finished,Non-Indigenous,0,10
Riverina,100 years and over,Male,hs_finished,Indigenous,0,0
Riverina,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Riverina,100 years and over,Male,hs_not_finished,Indigenous,0,0
Riverina,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Riverina,100 years and over,Female,hs_finished,Indigenous,0,0
Riverina,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Riverina,100 years and over,Female,hs_not_finished,Indigenous,0,0
Riverina,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Southern Highlands and Shoalhaven,15-19 years,Male,hs_finished,Indigenous,15,40
Southern Highlands and Shoalhaven,15-19 years,Male,hs_finished,Non-Indigenous,59,593
Southern Highlands and Shoalhaven,15-19 years,Male,hs_not_finished,Indigenous,35,98
Southern Highlands and Shoalhaven,15-19 years,Male,hs_not_finished,Non-Indigenous,183,1306
Southern Highlands and Shoalhaven,15-19 years,Female,hs_finished,Indigenous,3,48
Southern Highlands and Shoalhaven,15-19 years,Female,hs_finished,Non-Indigenous,66,695
Southern Highlands and Shoalhaven,15-19 years,Female,hs_not_finished,Indigenous,31,113
Southern Highlands and Shoalhaven,15-19 years,Female,hs_not_finished,Non-Indigenous,165,1265
Southern Highlands and Shoalhaven,20-29 years,Male,hs_finished,Indigenous,16,153
Southern Highlands and Shoalhaven,20-29 years,Male,hs_finished,Non-Indigenous,176,2743
Southern Highlands and Shoalhaven,20-29 years,Male,hs_not_finished,Indigenous,48,208
Southern Highlands and Shoalhaven,20-29 years,Male,hs_not_finished,Non-Indigenous,214,2209
Southern Highlands and Shoalhaven,20-29 years,Female,hs_finished,Indigenous,15,122
Southern Highlands and Shoalhaven,20-29 years,Female,hs_finished,Non-Indigenous,135,3036
Southern Highlands and Shoalhaven,20-29 years,Female,hs_not_finished,Indigenous,20,106
Southern Highlands and Shoalhaven,20-29 years,Female,hs_not_finished,Non-Indigenous,138,1206
Southern Highlands and Shoalhaven,30-39 years,Male,hs_finished,Indigenous,5,80
Southern Highlands and Shoalhaven,30-39 years,Male,hs_finished,Non-Indigenous,90,2878
Southern Highlands and Shoalhaven,30-39 years,Male,hs_not_finished,Indigenous,24,129
Southern Highlands and Shoalhaven,30-39 years,Male,hs_not_finished,Non-Indigenous,155,2261
Southern Highlands and Shoalhaven,30-39 years,Female,hs_finished,Indigenous,7,98
Southern Highlands and Shoalhaven,30-39 years,Female,hs_finished,Non-Indigenous,135,3251
Southern Highlands and Shoalhaven,30-39 years,Female,hs_not_finished,Indigenous,7,97
Southern Highlands and Shoalhaven,30-39 years,Female,hs_not_finished,Non-Indigenous,91,1309
Southern Highlands and Shoalhaven,40-49 years,Male,hs_finished,Indigenous,4,56
Southern Highlands and Shoalhaven,40-49 years,Male,hs_finished,Non-Indigenous,75,3028
Southern Highlands and Shoalhaven,40-49 years,Male,hs_not_finished,Indigenous,31,130
Southern Highlands and Shoalhaven,40-49 years,Male,hs_not_finished,Non-Indigenous,165,3294
Southern Highlands and Shoalhaven,40-49 years,Female,hs_finished,Indigenous,0,68
Southern Highlands and Shoalhaven,40-49 years,Female,hs_finished,Non-Indigenous,142,3776
Southern Highlands and Shoalhaven,40-49 years,Female,hs_not_finished,Indigenous,8,156
Southern Highlands and Shoalhaven,40-49 years,Female,hs_not_finished,Non-Indigenous,125,2660
Southern Highlands and Shoalhaven,50-59 years,Male,hs_finished,Indigenous,0,22
Southern Highlands and Shoalhaven,50-59 years,Male,hs_finished,Non-Indigenous,94,2606
Southern Highlands and Shoalhaven,50-59 years,Male,hs_not_finished,Indigenous,12,135
Southern Highlands and Shoalhaven,50-59 years,Male,hs_not_finished,Non-Indigenous,202,4359
Southern Highlands and Shoalhaven,50-59 years,Female,hs_finished,Indigenous,0,47
Southern Highlands and Shoalhaven,50-59 years,Female,hs_finished,Non-Indigenous,102,3048
Southern Highlands and Shoalhaven,50-59 years,Female,hs_not_finished,Indigenous,9,114
Southern Highlands and Shoalhaven,50-59 years,Female,hs_not_finished,Non-Indigenous,175,3888
Southern Highlands and Shoalhaven,60-69 years,Male,hs_finished,Indigenous,0,12
Southern Highlands and Shoalhaven,60-69 years,Male,hs_finished,Non-Indigenous,77,1689
Southern Highlands and Shoalhaven,60-69 years,Male,hs_not_finished,Indigenous,0,44
Southern Highlands and Shoalhaven,60-69 years,Male,hs_not_finished,Non-Indigenous,114,2160
Southern Highlands and Shoalhaven,60-69 years,Female,hs_finished,Indigenous,0,7
Southern Highlands and Shoalhaven,60-69 years,Female,hs_finished,Non-Indigenous,44,1382
Southern Highlands and Shoalhaven,60-69 years,Female,hs_not_finished,Indigenous,0,32
Southern Highlands and Shoalhaven,60-69 years,Female,hs_not_finished,Non-Indigenous,84,1933
Southern Highlands and Shoalhaven,70-79 years,Male,hs_finished,Indigenous,0,7
Southern Highlands and Shoalhaven,70-79 years,Male,hs_finished,Non-Indigenous,22,445
Southern Highlands and Shoalhaven,70-79 years,Male,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,70-79 years,Male,hs_not_finished,Non-Indigenous,10,429
Southern Highlands and Shoalhaven,70-79 years,Female,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,70-79 years,Female,hs_finished,Non-Indigenous,3,177
Southern Highlands and Shoalhaven,70-79 years,Female,hs_not_finished,Indigenous,0,6
Southern Highlands and Shoalhaven,70-79 years,Female,hs_not_finished,Non-Indigenous,0,256
Southern Highlands and Shoalhaven,80-89 years,Male,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,80-89 years,Male,hs_finished,Non-Indigenous,0,56
Southern Highlands and Shoalhaven,80-89 years,Male,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,80-89 years,Male,hs_not_finished,Non-Indigenous,0,56
Southern Highlands and Shoalhaven,80-89 years,Female,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,80-89 years,Female,hs_finished,Non-Indigenous,0,21
Southern Highlands and Shoalhaven,80-89 years,Female,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,80-89 years,Female,hs_not_finished,Non-Indigenous,0,28
Southern Highlands and Shoalhaven,90-99 years,Male,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,90-99 years,Male,hs_finished,Non-Indigenous,0,0
Southern Highlands and Shoalhaven,90-99 years,Male,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,90-99 years,Male,hs_not_finished,Non-Indigenous,0,17
Southern Highlands and Shoalhaven,90-99 years,Female,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,90-99 years,Female,hs_finished,Non-Indigenous,0,3
Southern Highlands and Shoalhaven,90-99 years,Female,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,90-99 years,Female,hs_not_finished,Non-Indigenous,0,8
Southern Highlands and Shoalhaven,100 years and over,Male,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Male,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Female,hs_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Female,hs_not_finished,Indigenous,0,0
Southern Highlands and Shoalhaven,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Male,hs_finished,Indigenous,3,19
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Male,hs_finished,Non-Indigenous,241,1680
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Male,hs_not_finished,Indigenous,3,40
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Male,hs_not_finished,Non-Indigenous,311,2091
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Female,hs_finished,Indigenous,4,26
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Female,hs_finished,Non-Indigenous,225,1888
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Female,hs_not_finished,Indigenous,7,35
Sydney - Baulkham Hills and Hawkesbury,15-19 years,Female,hs_not_finished,Non-Indigenous,333,2010
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Male,hs_finished,Indigenous,3,61
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Male,hs_finished,Non-Indigenous,599,8768
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Male,hs_not_finished,Indigenous,3,55
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Male,hs_not_finished,Non-Indigenous,106,2236
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Female,hs_finished,Indigenous,0,62
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Female,hs_finished,Non-Indigenous,430,8838
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Female,hs_not_finished,Indigenous,4,29
Sydney - Baulkham Hills and Hawkesbury,20-29 years,Female,hs_not_finished,Non-Indigenous,70,1111
